Game Results:

TOKEN	TAG	GUESS
QUERIES
-------------
Westlake	PER	O	5
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 1
Current available humans: 0
Current in-flight queries: 
-----------
Next event:
io.hybridcrowd.gameplay.Game$HumanArrival@0
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 1
Current in-flight queries: 
-----------
Move choice:
Making job posting
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 1
Current available humans: 1
Current in-flight queries: 
-----------
Next event:
io.hybridcrowd.gameplay.Game$HumanArrival@6
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 2
Current in-flight queries: 
-----------
Move choice:
Making job posting
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 1
Current available humans: 2
Current in-flight queries: 
-----------
Next event:
io.hybridcrowd.gameplay.Game$HumanArrival@9
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 0
Current available humans: 3
Current in-flight queries: 
-----------
Move choice:
Making job posting
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
arrested	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
in	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
December	[PER=0.012,LOC=0.010,ORG=0.003,O=0.974]	O	O
1993	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
charged	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
with	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
heroin	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
trafficking	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sawed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
iron	[PER=0.001,LOC=0.001,ORG=0.001,O=0.998]	O	O
grill	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
off	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
his	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
cell	[PER=0.000,LOC=0.000,ORG=0.003,O=0.997]	O	O
window	[PER=0.000,LOC=0.001,ORG=0.000,O=0.998]	O	O
and	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
climbed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
down	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
the	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
prison	[PER=0.001,LOC=0.001,ORG=0.001,O=0.997]	O	O
's	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
five-metre	[PER=0.000,LOC=0.001,ORG=0.000,O=0.999]	O	O
(	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
15-foot	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
)	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
wall	[PER=0.000,LOC=0.000,ORG=0.001,O=0.999]	O	O
on	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
a	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
rope	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
made	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
from	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
bed	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
sheets	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O
,	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
Vivit	[PER=0.307,LOC=0.301,ORG=0.247,O=0.145]	O	PER
said	[PER=0.000,LOC=0.000,ORG=0.000,O=0.999]	O	O
.	[PER=0.000,LOC=0.000,ORG=0.000,O=1.000]	O	O

-----------
Current job postings un-answered: 1
Current available humans: 3
Current in-flight queries: 
-----------
Next event:
io.hybridcrowd.gameplay.Game$HumanArrival@9
-----------
TOKEN	DIST	TAG	GUESS
-------------
Westlake	[PER=0.183,LOC=0.134,ORG=0.045,O=0.638]	PER	O
